2theta_deg,relative_intensity_au,sample
37.82352941,375,Granite Waste
38,187.5,Granite Waste
38.17647059,125,Granite Waste
38.35294118,62.5,Granite Waste
38.52941176,62.5,Granite Waste
38.70588235,62.5,Granite Waste
38.88235294,62.5,Granite Waste
39.05882353,62.5,Granite Waste
39.23529412,62.5,Granite Waste
39.41176471,62.5,Granite Waste
39.58823529,62.5,Granite Waste
39.76470588,62.5,Granite Waste
39.94117647,0,Granite Waste
40.11764706,0,Granite Waste
40.29411765,0,Granite Waste
40.47058824,0,Granite Waste
40.64705882,62.5,Granite Waste
40.82352941,0,Granite Waste
41,0,Granite Waste
41.17647059,62.5,Granite Waste
41.35294118,0,Granite Waste
41.52941176,62.5,Granite Waste
41.70588235,125,Granite Waste
41.88235294,375,Granite Waste
42.05882353,187.5,Granite Waste
42.23529412,125,Granite Waste
42.41176471,93.75,Granite Waste
42.58823529,31.25,Granite Waste
42.76470588,62.5,Granite Waste
42.94117647,62.5,Granite Waste
43.11764706,62.5,Granite Waste
43.29411765,125,Granite Waste
43.47058824,125,Granite Waste
43.64705882,62.5,Granite Waste
43.82352941,62.5,Granite Waste
44,62.5,Granite Waste
44.17647059,62.5,Granite Waste
44.35294118,62.5,Granite Waste
44.52941176,62.5,Granite Waste
44.70588235,62.5,Granite Waste
44.88235294,0,Granite Waste
45.05882353,0,Granite Waste
45.23529412,62.5,Granite Waste
45.41176471,0,Granite Waste
45.58823529,62.5,Granite Waste
45.76470588,62.5,Granite Waste
45.94117647,125,Granite Waste
46.11764706,62.5,Granite Waste
46.29411765,62.5,Granite Waste
46.47058824,0,Granite Waste
46.64705882,0,Granite Waste
46.82352941,0,Granite Waste
47,62.5,Granite Waste
47.17647059,62.5,Granite Waste
47.35294118,0,Granite Waste
47.52941176,0,Granite Waste
47.70588235,0,Granite Waste
47.88235294,62.5,Granite Waste
48.05882353,0,Granite Waste
48.23529412,0,Granite Waste
48.41176471,62.5,Granite Waste
48.58823529,62.5,Granite Waste
48.76470588,62.5,Granite Waste
48.94117647,0,Granite Waste
49.11764706,0,Granite Waste
49.29411765,62.5,Granite Waste
49.47058824,62.5,Granite Waste
49.64705882,0,Granite Waste
49.82352941,0,Granite Waste
50,62.5,Granite Waste
50.17647059,125,Granite Waste
50.35294118,187.5,Granite Waste
50.52941176,62.5,Granite Waste
50.70588235,0,Granite Waste
50.88235294,0,Granite Waste
51.05882353,0,Granite Waste
51.23529412,0,Granite Waste
51.41176471,0,Granite Waste
51.58823529,0,Granite Waste
51.76470588,0,Granite Waste
51.94117647,0,Granite Waste
52.11764706,0,Granite Waste
52.29411765,0,Granite Waste
52.47058824,0,Granite Waste
52.64705882,0,Granite Waste
52.82352941,0,Granite Waste
53,0,Granite Waste
53.17647059,31.25,Granite Waste
53.35294118,93.75,Granite Waste
53.52941176,93.75,Granite Waste
53.70588235,31.25,Granite Waste
53.88235294,62.5,Granite Waste
54.05882353,62.5,Granite Waste
54.23529412,62.5,Granite Waste
54.41176471,62.5,Granite Waste
54.58823529,62.5,Granite Waste
54.76470588,62.5,Granite Waste
54.94117647,62.5,Granite Waste
55.11764706,125,Granite Waste
55.29411765,125,Granite Waste
55.47058824,62.5,Granite Waste
55.64705882,0,Granite Waste
55.82352941,0,Granite Waste
56,62.5,Granite Waste
56.17647059,62.5,Granite Waste
56.35294118,62.5,Granite Waste
56.52941176,0,Granite Waste
56.70588235,0,Granite Waste
56.88235294,0,Granite Waste
57.05882353,62.5,Granite Waste
57.23529412,0,Granite Waste
57.41176471,0,Granite Waste
57.58823529,0,Granite Waste
57.76470588,62.5,Granite Waste
